[0.3s] state=InMainMenu, run=0/500, strategy=0, sceneWait=0.10
[0.7s] HandleDeckConstruction: deckSize=30, valid=True, main=18, colony=12
[3.2s] HandleDeckConstruction: deckSize=30, valid=True, main=24, colony=6
[6.3s] HandleDeckConstruction: deckSize=30, valid=True, main=22, colony=8
[7.3s] HandleDeckConstruction: deckSize=30, valid=True, main=14, colony=16
[9.2s] HandleDeckConstruction: deckSize=30, valid=True, main=22, colony=8
[11.2s] HandleDeckConstruction: deckSize=30, valid=True, main=20, colony=10
[12.9s] HandleDeckConstruction: deckSize=30, valid=True, main=18, colony=12
[14.8s] HandleDeckConstruction: deckSize=30, valid=True, main=24, colony=6
[18.3s] HandleDeckConstruction: deckSize=30, valid=True, main=22, colony=8
[19.7s] HandleDeckConstruction: deckSize=30, valid=True, main=14, colony=16
[21.6s] HandleDeckConstruction: deckSize=30, valid=True, main=22, colony=8
[23.3s] HandleDeckConstruction: deckSize=30, valid=True, main=20, colony=10
[25.0s] HandleDeckConstruction: deckSize=30, valid=True, main=18, colony=12
[27.3s] HandleDeckConstruction: deckSize=30, valid=True, main=24, colony=6
[30.0s] HandleDeckConstruction: deckSize=30, valid=True, main=22, colony=8
[30.4s] state=InGameMap, run=14/500, strategy=2, sceneWait=0.12
[31.8s] HandleDeckConstruction: deckSize=30, valid=True, main=14, colony=16
[34.0s] HandleDeckConstruction: deckSize=30, valid=True, main=22, colony=8
[36.5s] HandleDeckConstruction: deckSize=30, valid=True, main=20, colony=10
[38.2s] HandleDeckConstruction: deckSize=30, valid=True, main=18, colony=12
[40.1s] HandleDeckConstruction: deckSize=30, valid=True, main=24, colony=6
[43.0s] HandleDeckConstruction: deckSize=30, valid=True, main=22, colony=8
[44.7s] HandleDeckConstruction: deckSize=30, valid=True, main=14, colony=16
[47.4s] HandleDeckConstruction: deckSize=30, valid=True, main=22, colony=8
[49.2s] HandleDeckConstruction: deckSize=30, valid=True, main=20, colony=10
[50.9s] HandleDeckConstruction: deckSize=30, valid=True, main=18, colony=12
[53.2s] HandleDeckConstruction: deckSize=30, valid=True, main=24, colony=6
[56.6s] HandleDeckConstruction: deckSize=30, valid=True, main=22, colony=8
[57.9s] HandleDeckConstruction: deckSize=30, valid=True, main=14, colony=16
