Run,Strategy,StrategyName,Victory,Turns,EnemiesDefeated,ZoneBosses,PiperDefeated,ResourcesGathered,ColonyCardsPlayed,HeroesNeverInjured,TotalHeroes,DeckSize,ColonyDeckSize,Food,Materials,Currency,Score,Seed
1,0,ColonyFirst,False,5,8,0,False,6,5,8,8,18,12,0,0,0,685,32723187
2,1,ZergRush,False,4,12,2,False,9,4,16,16,24,6,0,0,0,975,32725625
3,2,SpeedScouts,False,1,1,0,False,2,1,8,8,22,8,0,0,0,735,32728234
4,3,FortressColony,False,5,2,1,False,0,5,6,6,14,16,0,0,0,695,32729296
5,4,PiperBeeline,False,4,7,2,False,3,4,10,10,22,8,0,0,0,895,32731203
6,5,BalancedAdaptive,False,4,3,0,False,0,4,8,8,20,10,0,0,0,640,32733421
7,0,ColonyFirst,False,5,4,0,False,6,5,8,8,18,12,0,0,0,645,32735140
8,1,ZergRush,False,6,17,0,False,12,6,16,16,24,6,0,0,0,770,32737515
9,2,SpeedScouts,False,2,2,0,False,3,2,8,8,22,8,0,0,0,715,32740843
10,3,FortressColony,False,5,4,0,False,0,5,6,6,14,16,0,0,0,615,32742109
11,4,PiperBeeline,False,5,6,1,False,8,5,10,10,22,8,0,0,0,775,32744156
12,5,BalancedAdaptive,False,4,5,0,False,0,4,8,8,20,10,0,0,0,660,32746812
13,0,ColonyFirst,False,2,6,0,False,4,2,8,8,18,12,0,0,0,760,32748546
14,1,ZergRush,False,5,6,2,False,10,5,16,16,24,6,0,0,0,885,32750109
15,2,SpeedScouts,False,4,4,0,False,2,4,8,8,22,8,0,0,0,660,32753265
16,3,FortressColony,False,5,3,1,False,0,5,6,6,14,16,0,0,0,705,32755093
17,4,PiperBeeline,False,4,6,2,False,3,4,10,10,22,8,0,0,0,885,32757046
18,5,BalancedAdaptive,False,4,6,0,False,0,4,8,8,20,10,0,0,0,670,32759265
19,0,ColonyFirst,False,3,4,0,False,2,3,8,8,18,12,0,0,0,695,32761125
20,1,ZergRush,False,4,11,2,False,12,4,16,16,24,6,0,0,0,980,32762812
21,2,SpeedScouts,False,2,2,0,False,2,2,8,8,22,8,0,0,0,710,32765343
22,3,FortressColony,False,5,2,0,False,0,5,6,6,14,16,0,0,0,595,32766703
23,4,PiperBeeline,False,4,6,2,False,2,4,10,10,22,8,0,0,0,880,32768578
24,5,BalancedAdaptive,False,4,4,0,False,0,4,8,8,20,10,0,0,0,650,32770718
25,0,ColonyFirst,False,5,5,0,False,6,5,8,8,18,12,0,0,0,655,32772500
26,1,ZergRush,False,7,14,1,False,19,6,16,16,24,6,0,0,0,825,32775000
27,2,SpeedScouts,False,4,4,0,False,0,4,8,8,22,8,0,0,0,650,32778718
28,3,FortressColony,False,5,4,0,False,2,5,6,6,14,16,0,0,0,625,32780593
29,4,PiperBeeline,False,4,6,1,False,7,4,10,10,22,8,0,0,0,805,32782625
30,5,BalancedAdaptive,False,4,8,0,False,0,4,8,8,20,10,0,0,0,690,32785000
31,0,ColonyFirst,False,5,8,0,False,7,5,8,8,18,12,0,0,0,690,32786687
32,1,ZergRush,False,6,12,1,False,9,6,16,16,24,6,0,0,0,805,32788890
33,2,SpeedScouts,False,4,4,0,False,0,4,8,8,22,8,0,0,0,650,32792187
34,3,FortressColony,False,6,4,0,False,1,6,6,6,14,16,0,0,0,585,32793937
35,4,PiperBeeline,False,4,5,1,False,7,4,10,10,22,8,0,0,0,795,32796109
36,5,BalancedAdaptive,False,4,7,0,False,0,4,8,8,20,10,0,0,0,680,32798484
