Generation,BestFitness,AvgFitness,WorstFitness,Victories,AllTimeBest,BestHeroes,BestColony,BestDeckSize,BestMaxDeploy,BestFoodBuffer,BestDeployStart,BestGroupSize,BestPiperRush,BestFoodThreshold,ElapsedSec
0,10125,2050,539,12,10125,13,5,15,1,0.00,0,4,9,9.8,25.9
1,8831,2194,616,11,10125,13,5,15,1,0.00,0,4,9,9.8,52.5
2,7609,2119,767,9,10125,13,5,15,1,0.00,0,4,9,9.8,78.4
3,12076,2292,634,10,12076,14,4,14,1,0.49,0,4,8,9.8,105.8
4,7371,2107,745,7,12076,14,4,14,1,0.49,0,4,8,9.8,132.0
5,6448,1980,601,7,12076,14,4,14,1,0.49,0,4,8,9.8,156.9
6,8228,1989,658,5,12076,14,4,14,1,0.49,0,4,8,9.8,181.3
7,5994,2099,812,7,12076,14,4,14,1,0.49,0,4,8,9.8,206.1
8,7979,2188,704,6,12076,14,4,14,1,0.49,0,4,8,9.8,231.9
9,7533,2368,623,13,12076,14,4,14,1,0.49,0,4,8,9.8,259.6
10,6429,2180,805,7,12076,14,4,14,1,0.49,0,4,8,9.8,285.7
11,8935,2222,739,12,12076,14,4,14,1,0.49,0,4,8,9.8,310.8
12,8192,2124,745,8,12076,14,4,14,1,0.49,0,4,8,9.8,335.8
13,9611,2228,696,8,12076,14,4,14,1,0.49,0,4,8,9.8,361.5
14,8848,2299,826,11,12076,14,4,14,1,0.49,0,4,8,9.8,388.2
15,7807,2250,826,8,12076,14,4,14,1,0.49,0,4,8,9.8,414.6
16,8900,2267,805,11,12076,14,4,14,1,0.49,0,4,8,9.8,440.5
17,10430,2170,781,10,12076,14,4,14,1,0.49,0,4,8,9.8,465.8
18,6910,2317,698,15,12076,14,4,14,1,0.49,0,4,8,9.8,492.5
19,8832,2259,683,8,12076,14,4,14,1,0.49,0,4,8,9.8,519.0
20,5859,2199,730,10,12076,14,4,14,1,0.49,0,4,8,9.8,543.9
21,7402,2227,891,6,12076,14,4,14,1,0.49,0,4,8,9.8,569.0
22,8969,2366,679,15,12076,14,4,14,1,0.49,0,4,8,9.8,594.5
23,7755,2329,608,11,12076,14,4,14,1,0.49,0,4,8,9.8,619.9
24,8013,2378,719,12,12076,14,4,14,1,0.49,0,4,8,9.8,646.0
25,8647,2349,818,11,12076,14,4,14,1,0.49,0,4,8,9.8,672.9
26,11588,2532,754,11,12076,14,4,14,1,0.49,0,4,8,9.8,699.2
27,9309,2205,646,10,12076,14,4,14,1,0.49,0,4,8,9.8,724.6
28,6496,2088,636,10,12076,14,4,14,1,0.49,0,4,8,9.8,748.5
29,7868,2139,646,7,12076,14,4,14,1,0.49,0,4,8,9.8,773.8
30,10409,2276,820,8,12076,14,4,14,1,0.49,0,4,8,9.8,800.3
31,6668,2280,746,6,12076,14,4,14,1,0.49,0,4,8,9.8,826.2
32,6527,2181,796,4,12076,14,4,14,1,0.49,0,4,8,9.8,850.9
33,10606,2245,794,11,12076,14,4,14,1,0.49,0,4,8,9.8,875.7
34,12207,2243,841,12,12207,13,4,15,1,0.00,0,2,8,10.8,900.5
35,7854,2250,599,9,12207,13,4,15,1,0.00,0,2,8,10.8,925.6
36,10997,2345,738,12,12207,13,4,15,1,0.00,0,2,8,10.8,951.1
37,8084,2326,616,10,12207,13,4,15,1,0.00,0,2,8,10.8,977.0
38,7458,2358,693,11,12207,13,4,15,1,0.00,0,2,8,10.8,1003.8
39,9618,2276,782,9,12207,13,4,15,1,0.00,0,2,8,10.8,1030.4
40,9106,2240,593,11,12207,13,4,15,1,0.00,0,2,8,10.8,1054.9
41,6949,2327,630,10,12207,13,4,15,1,0.00,0,2,8,10.8,1081.0
42,8498,2242,642,10,12207,13,4,15,1,0.00,0,2,8,10.8,1105.7
43,5818,2101,709,5,12207,13,4,15,1,0.00,0,2,8,10.8,1131.1
44,5807,2329,709,8,12207,13,4,15,1,0.00,0,2,8,10.8,1156.7
45,10375,2178,571,9,12207,13,4,15,1,0.00,0,2,8,10.8,1180.4
46,9016,2098,571,8,12207,13,4,15,1,0.00,0,2,8,10.8,1204.1
47,8588,2158,753,7,12207,13,4,15,1,0.00,0,2,8,10.8,1227.8
48,7130,2335,680,13,12207,13,4,15,1,0.00,0,2,8,10.8,1252.3
49,15343,2243,617,8,15343,13,4,16,1,0.00,0,2,8,11.2,1275.5
50,8019,2276,630,10,15343,13,4,16,1,0.00,0,2,8,11.2,1300.0
51,8244,2247,747,9,15343,13,4,16,1,0.00,0,2,8,11.2,1324.8
52,10043,2456,727,14,15343,13,4,16,1,0.00,0,2,8,11.2,1350.9
53,8926,2324,642,10,15343,13,4,16,1,0.00,0,2,8,11.2,1376.0
54,6802,2178,691,8,15343,13,4,16,1,0.00,0,2,8,11.2,1400.1
55,9348,2411,691,9,15343,13,4,16,1,0.00,0,2,8,11.2,1425.5
56,8727,2544,725,13,15343,13,4,16,1,0.00,0,2,8,11.2,1451.2
57,9579,2225,717,8,15343,13,4,16,1,0.00,0,2,8,11.2,1476.5
58,17271,2257,687,12,17271,15,4,15,1,0.32,0,3,9,11.5,1500.7
59,7778,2172,604,9,17271,15,4,15,1,0.32,0,3,9,11.5,1525.1
60,10525,2407,662,13,17271,15,4,15,1,0.32,0,3,9,11.5,1550.6
61,7562,2351,730,10,17271,15,4,15,1,0.32,0,3,9,11.5,1575.0
62,8219,2408,725,12,17271,15,4,15,1,0.32,0,3,9,11.5,1601.2
63,8280,2399,674,13,17271,15,4,15,1,0.32,0,3,9,11.5,1626.5
64,8723,2281,739,8,17271,15,4,15,1,0.32,0,3,9,11.5,1652.3
65,8267,2220,715,13,17271,15,4,15,1,0.32,0,3,9,11.5,1676.0
66,7202,2274,751,11,17271,15,4,15,1,0.32,0,3,9,11.5,1700.5
67,9233,2246,679,10,17271,15,4,15,1,0.32,0,3,9,11.5,1726.0
68,8453,2415,681,13,17271,15,4,15,1,0.32,0,3,9,11.5,1751.3
69,7762,2402,608,6,17271,15,4,15,1,0.32,0,3,9,11.5,1776.1
70,8375,2525,666,14,17271,15,4,15,1,0.32,0,3,9,11.5,1801.5
71,10292,2463,763,12,17271,15,4,15,1,0.32,0,3,9,11.5,1827.7
72,13931,2536,644,15,17271,15,4,15,1,0.32,0,3,9,11.5,1854.1
73,12446,2616,803,18,17271,15,4,15,1,0.32,0,3,9,11.5,1880.4
74,9217,2411,760,16,17271,15,4,15,1,0.32,0,3,9,11.5,1904.2
75,14599,2338,779,11,17271,15,4,15,1,0.32,0,3,9,11.5,1928.4
76,11881,2475,735,14,17271,15,4,15,1,0.32,0,3,9,11.5,1953.6
77,8521,2324,616,9,17271,15,4,15,1,0.32,0,3,9,11.5,1977.8
78,8748,2489,785,19,17271,15,4,15,1,0.32,0,3,9,11.5,2001.9
79,9363,2621,785,16,17271,15,4,15,1,0.32,0,3,9,11.5,2028.1
