Generation,BestFitness,AvgFitness,WorstFitness,Victories,AllTimeBest,BestHeroes,BestColony,BestDeckSize,BestMaxDeploy,BestFoodBuffer,BestDeployStart,BestGroupSize,BestPiperRush,BestFoodThreshold,ElapsedSec
0,4104,1366,397,63,4104,12,13,23,7,0.00,1,1,8,9.7,31.6
1,3789,1403,502,60,4104,12,13,23,7,0.00,1,1,8,9.7,66.4
2,3863,1365,532,60,4104,12,13,23,7,0.00,1,1,8,9.7,99.3
3,4242,1390,280,64,4242,12,13,23,7,0.00,1,1,7,8.9,131.5
4,4751,1482,444,71,4751,12,13,22,8,0.00,0,1,7,10.2,164.9
5,4148,1525,417,76,4751,12,13,22,8,0.00,0,1,7,10.2,198.4
6,3844,1485,632,70,4751,12,13,22,8,0.00,0,1,7,10.2,232.0
7,3710,1472,647,69,4751,12,13,22,8,0.00,0,1,7,10.2,265.6
8,3601,1457,440,66,4751,12,13,22,8,0.00,0,1,7,10.2,299.3
9,4099,1534,599,81,4751,12,13,22,8,0.00,0,1,7,10.2,333.0
10,4161,1470,419,66,4751,12,13,22,8,0.00,0,1,7,10.2,367.2
11,4081,1422,565,57,4751,12,13,22,8,0.00,0,1,7,10.2,402.0
12,3270,1403,459,59,4751,12,13,22,8,0.00,0,1,7,10.2,437.2
13,4082,1378,514,56,4751,12,13,22,8,0.00,0,1,7,10.2,471.5
14,3760,1370,532,57,4751,12,13,22,8,0.00,0,1,7,10.2,504.9
15,4762,1503,470,79,4762,12,13,23,7,0.00,0,1,7,8.0,539.2
16,4663,1590,490,94,4762,12,13,23,7,0.00,0,1,7,8.0,573.4
17,3565,1396,515,62,4762,12,13,23,7,0.00,0,1,7,8.0,606.9
18,3640,1474,493,67,4762,12,13,23,7,0.00,0,1,7,8.0,641.2
19,3270,1416,556,63,4762,12,13,23,7,0.00,0,1,7,8.0,674.7
20,4108,1579,361,87,4762,12,13,23,7,0.00,0,1,7,8.0,709.3
21,3871,1460,509,64,4762,12,13,23,7,0.00,0,1,7,8.0,743.8
22,3682,1456,611,68,4762,12,13,23,7,0.00,0,1,7,8.0,779.8
23,4183,1418,594,60,4762,12,13,23,7,0.00,0,1,7,8.0,816.7
24,4617,1385,530,54,4762,12,13,23,7,0.00,0,1,7,8.0,851.0
25,4111,1372,562,58,4762,12,13,23,7,0.00,0,1,7,8.0,883.8
26,5092,1447,517,66,5092,11,13,22,7,0.00,0,1,7,9.9,917.6
27,4652,1511,621,74,5092,11,13,22,7,0.00,0,1,7,9.9,952.3
28,3852,1406,474,68,5092,11,13,22,7,0.00,0,1,7,9.9,984.6
29,3452,1455,477,75,5092,11,13,22,7,0.00,0,1,7,9.9,1016.8
30,3395,1410,455,70,5092,11,13,22,7,0.00,0,1,7,9.9,1048.4
31,4019,1365,544,54,5092,11,13,22,7,0.00,0,1,7,9.9,1081.7
32,4037,1376,583,57,5092,11,13,22,7,0.00,0,1,7,9.9,1115.3
33,3642,1437,480,67,5092,11,13,22,7,0.00,0,1,7,9.9,1151.3
34,3789,1519,414,78,5092,11,13,22,7,0.00,0,1,7,9.9,1186.5
35,3951,1453,438,71,5092,11,13,22,7,0.00,0,1,7,9.9,1220.0
36,3032,1470,535,71,5092,11,13,22,7,0.00,0,1,7,9.9,1253.8
37,4082,1578,459,84,5092,11,13,22,7,0.00,0,1,7,9.9,1288.8
38,4778,1511,517,79,5092,11,13,22,7,0.00,0,1,7,9.9,1321.9
39,3877,1443,559,62,5092,11,13,22,7,0.00,0,1,7,9.9,1356.4
40,3779,1469,433,72,5092,11,13,22,7,0.00,0,1,7,9.9,1390.4
41,3327,1377,456,59,5092,11,13,22,7,0.00,0,1,7,9.9,1430.1
42,4026,1545,591,79,5092,11,13,22,7,0.00,0,1,7,9.9,1465.5
43,3167,1420,607,63,5092,11,13,22,7,0.00,0,1,7,9.9,1502.0
44,3536,1460,514,67,5092,11,13,22,7,0.00,0,1,7,9.9,1538.5
45,3256,1426,446,59,5092,11,13,22,7,0.00,0,1,7,9.9,1574.2
46,3189,1468,551,65,5092,11,13,22,7,0.00,0,1,7,9.9,1609.3
47,3919,1454,521,71,5092,11,13,22,7,0.00,0,1,7,9.9,1642.8
48,3048,1367,458,54,5092,11,13,22,7,0.00,0,1,7,9.9,1676.3
49,3983,1406,387,58,5092,11,13,22,7,0.00,0,1,7,9.9,1710.3
50,3144,1434,576,58,5092,11,13,22,7,0.00,0,1,7,9.9,1744.9
51,3139,1373,530,47,5092,11,13,22,7,0.00,0,1,7,9.9,1779.4
52,3628,1368,449,50,5092,11,13,22,7,0.00,0,1,7,9.9,1813.6
53,3765,1353,524,52,5092,11,13,22,7,0.00,0,1,7,9.9,1847.9
54,4070,1438,576,59,5092,11,13,22,7,0.00,0,1,7,9.9,1884.7
55,3188,1469,534,64,5092,11,13,22,7,0.00,0,1,7,9.9,1921.1
56,3894,1462,529,67,5092,11,13,22,7,0.00,0,1,7,9.9,1955.0
57,4713,1399,575,55,5092,11,13,22,7,0.00,0,1,7,9.9,1989.1
58,3262,1314,482,37,5092,11,13,22,7,0.00,0,1,7,9.9,2023.3
59,3051,1409,487,52,5092,11,13,22,7,0.00,0,1,7,9.9,2058.7
60,3245,1398,580,53,5092,11,13,22,7,0.00,0,1,7,9.9,2093.7
