Episode,EvalBestFitness,EvalAvgFitness,EvalVictories,Entropy,AvgEpReward,ElapsedSec
1000,7545,1622,0,14.70,1683.1,19.5
2000,8405,1920,0,14.70,1708.1,39.0
3000,29800,3597,1,14.71,1676.9,59.1
4000,5050,1724,0,14.71,1648.1,77.2
5000,3985,1442,0,14.71,1614.8,96.4
6000,3145,1298,0,14.71,1604.4,115.8
7000,9775,2012,0,14.71,1588.6,134.8
8000,21950,3078,0,14.71,1592.5,154.6
9000,35290,3733,1,14.71,1590.0,174.5
10000,9820,2414,0,14.71,1573.9,193.1
11000,3110,976,0,14.71,1570.6,212.8
12000,6635,1826,0,14.71,1581.5,233.9
13000,41280,4006,1,14.71,1586.4,254.6
14000,9685,2443,0,14.71,1589.1,274.3
15000,4225,1612,0,14.72,1595.0,293.2
16000,11830,1830,0,14.72,1589.2,313.6
17000,11330,2977,0,14.72,1591.1,334.5
18000,13540,3021,0,14.72,1595.3,356.2
19000,7430,1588,0,14.72,1604.4,376.1
20000,4835,1133,0,14.72,1605.1,395.9
21000,6310,1288,0,14.72,1591.1,414.1
22000,43945,3761,1,14.72,1592.2,434.1
23000,40365,3320,0,14.72,1591.0,451.3
24000,10340,1472,0,14.72,1582.6,470.6
25000,3000,1039,0,14.72,1578.6,489.5
26000,7855,1855,0,14.72,1584.2,510.9
27000,7820,2178,0,14.72,1594.6,532.0
28000,4795,1310,0,14.72,1593.8,551.0
29000,9595,2756,0,14.73,1593.5,571.4
30000,4810,1205,0,14.73,1595.7,592.4
31000,9340,1946,0,14.73,1593.1,612.2
32000,8830,2182,0,14.73,1593.0,632.5
33000,11590,1881,0,14.73,1593.8,652.3
34000,5745,1574,0,14.73,1593.4,672.7
35000,7790,1749,0,14.73,1605.5,695.1
36000,13635,2504,0,14.73,1610.5,715.4
37000,3490,1127,0,14.73,1609.1,734.5
38000,5655,1545,0,14.73,1611.5,755.4
39000,7730,2360,0,14.73,1608.5,774.6
40000,19765,2456,0,14.74,1616.5,795.0
41000,8345,1735,0,14.74,1617.6,814.2
42000,7555,1815,0,14.74,1615.7,834.6
43000,5375,2214,0,14.74,1609.2,854.4
44000,10805,1519,0,14.74,1605.4,874.9
45000,6510,1598,0,14.74,1611.0,896.7
46000,5270,1226,0,14.74,1613.2,916.6
47000,33590,3385,1,14.74,1611.7,935.9
48000,5455,1625,0,14.74,1615.2,956.3
49000,7760,2221,0,14.74,1612.6,975.5
50000,9125,1987,0,14.74,1614.6,997.8
51000,19435,2248,0,14.74,1616.2,1017.2
52000,6865,1649,0,14.74,1620.2,1039.2
53000,6850,1756,0,14.74,1620.6,1059.3
54000,9235,2017,0,14.74,1620.0,1078.4
55000,7995,2298,0,14.74,1619.3,1098.1
56000,7085,2063,0,14.74,1623.6,1120.4
57000,7570,2357,0,14.75,1627.9,1140.5
58000,5795,1997,0,14.75,1624.7,1159.7
59000,8265,2271,0,14.75,1624.5,1180.6
60000,10050,1599,0,14.75,1624.7,1200.4
61000,5595,1939,0,14.75,1623.7,1220.3
62000,11480,1934,0,14.75,1623.9,1240.7
63000,8215,2297,0,14.75,1626.3,1261.0
64000,13930,2186,0,14.75,1624.3,1279.7
65000,9375,2623,0,14.75,1623.3,1298.9
66000,11495,1608,0,14.75,1622.8,1318.0
67000,9075,2305,0,14.75,1624.7,1338.5
68000,6110,1760,0,14.75,1625.1,1359.6
69000,37190,4147,1,14.75,1623.3,1378.6
70000,9310,2743,0,14.75,1621.0,1398.4
71000,29720,4908,2,14.75,1620.7,1419.1
72000,33555,3120,1,14.75,1625.3,1441.2
73000,4720,1366,0,14.76,1628.4,1462.3
74000,7045,1513,0,14.76,1626.8,1482.5
75000,7805,1762,0,14.76,1627.5,1501.8
76000,23710,3245,0,14.76,1630.9,1522.3
77000,16755,2777,0,14.76,1629.0,1541.5
78000,10360,3073,0,14.76,1626.9,1560.5
79000,28620,3043,1,14.76,1629.5,1581.2
80000,4555,1690,0,14.76,1630.5,1601.5
81000,8915,2129,0,14.76,1634.2,1622.2
82000,8915,2370,0,14.76,1635.1,1643.4
83000,5365,2090,0,14.76,1634.7,1663.3
84000,7690,1899,0,14.77,1635.6,1683.7
85000,6650,1655,0,14.77,1635.7,1703.9
86000,5025,1767,0,14.77,1636.3,1723.4
87000,5320,1206,0,14.77,1640.4,1746.3
88000,29360,2790,1,14.77,1641.6,1767.2
89000,6685,1870,0,14.77,1642.6,1787.6
90000,4380,1652,0,14.77,1642.4,1807.8
91000,8685,1818,0,14.77,1640.9,1827.2
92000,10245,2997,0,14.77,1642.2,1848.7
93000,3160,1000,0,14.77,1641.5,1868.4
94000,6760,1404,0,14.77,1644.0,1889.7
95000,9200,1647,0,14.77,1643.9,1908.3
96000,5780,1673,0,14.78,1644.6,1928.5
97000,7695,1900,0,14.78,1643.0,1947.2
98000,9715,1988,0,14.78,1643.6,1968.7
99000,28655,3826,1,14.77,1645.5,1990.4
100000,7495,2714,0,14.78,1644.2,2010.9
